Node 1,weight 1,Node 2,weight 2,Node 3,weight 3,Node 4,weight 4,Node 5,weight 5,Node 6,weight 6,Node 7,weight 7,Node 8,weight 8,Node 9,weight 9,Node 10,weight 10,Node 11,weight 11,Node 12,weight 12,Node 13,weight 13,Node 14,weight 14,Node 15,weight 15,Node 16,weight 16,Node 17,weight 17,Node 18,weight 18,Node 19,weight 19,Node 20,weight 20,Node 21,weight 21,Node 22,weight 22,Node 23,weight 23,Node 24,weight 24,Node 25,weight 25,Node 26,weight 26,Node 27,weight 27,Node 28,weight 28,Node 29,weight 29,Node 30,weight 30,Node 31,weight 31,Node 32,weight 32,Node 33,weight 33,Node 34,weight 34,Node 35,weight 35,Node 36,weight 36,Node 37,weight 37,Node 38,weight 38,Node 39,weight 39,Node 40,weight 40,Node 41,weight 41,Node 42,weight 42,Node 43,weight 43,Node 44,weight 44,Node 45,weight 45,Node 46,weight 46,Node 47,weight 47,Node 48,weight 48,Node 49,weight 49,Node 50,weight 50
PA3520,0.5947843,PA1471,0.92702745,PA3383,0.76565301,PA4471,0.68339128,mvaT,1.19140258,flp,0.98814004,PA4881,0.66491884,narK1,0.67726869,PA4685,0.66784327,rhlB,0.7228186,PA4387,0.54466307,lldP,0.99332347,PA3229,0.6569205,PA0614,0.61004565,PA2754,0.7288349,norB,0.89696277,PA3441,0.65452399,antC,0.54604659,PA5027,0.62538318,PA2459,0.60790179,PA1664,0.68540791,oprH,0.79523885,PA1875,0.96277198,PA2321,0.5462762,motB,0.63059999,PA4220,0.75671713,rpmC,0.68937715,PA4521,1.02324814,groES,0.71492433,pilA,1.18265862,PA4463,1.05884914,PA4469,0.56005361,exoS,0.96155684,potD,0.56077213,PA2223,0.81383771,wbpG,0.77198195,PA3332,0.65469204,PA2110,0.66935164,oprH,0.84158429,glyA2,0.75124521,rpsB,0.76005377,ccoN2,0.78824273,PA0716,0.69207307,PA1645,0.61815535,oprH,0.837703,norB,0.62528794,PA2166,0.63899338,norB,0.88857096,sspB,0.49853721,fliC,0.80740392
PA4139,0.58920761,PA4107,0.80762951,PA3377,0.71895683,PA4469,0.68307291,PA5446,1.17607226,hmgA,0.75744418,mexE,0.65799173,fumC1,0.67457845,PA1023,0.58935133,lecB,0.69077075,PA4773,0.52484344,lldD,0.96886302,PA4881,0.59776281,PA0632,0.59381128,PA4348,0.69859281,nosZ,0.72320685,PA1190,0.63528455,antB,0.51353372,hemN,0.61532165,PA4773,0.60021014,ccpR,0.6204243,PA0633,0.66841032,PA1874,0.89706296,pgl,0.53352615,PA0243,0.5914571,phzB1,0.74443714,PA0769,0.61408828,fusA1,0.89492018,PA2575,0.65718116,wbpA,1.06155235,PA4739,0.88229269,PA2412,0.55990515,PA0100,0.81291119,potB,0.52302572,PA1939,0.79236369,wbpH,0.68658245,PA3334,0.64429321,PA2111,0.66601263,PA3008,0.64836883,PA4596,0.64082659,minC,0.75232565,PA1673,0.75509547,alg8,0.67623177,PA3819,0.57050963,phoQ,0.80356741,PA0521,0.54610208,PA2159,0.531824,norC,0.72324397,PA5339,0.49469162,phzB1,0.6821321
chiC,0.58391886,glpD,0.67216844,oprO,0.70891558,pvdA,0.65065781,PA4463,1.0995922,PA4648,0.68139394,PA1869,0.64765404,pfeR,0.67347451,PA4103,0.5836908,rhlA,0.64980254,PA2840,0.51112451,PA4772,0.93957898,PA1095,0.5767293,PA0635,0.59167635,dadA,0.69565277,secF,0.70546511,sbp,0.62132031,PA5535,0.48256796,PA4348,0.61360399,PA0047,0.59195051,PA3904,0.61964515,PA0635,0.65782806,pprA,0.86360424,gapA,0.52389853,PA4375,0.58004006,PA3785,0.72908823,rpmJ,0.59724192,PA3208,0.88707762,PA4430,0.61898771,PA2733,1.02163966,PA4421,0.7181946,thiC,0.54900219,PA2372,0.6443009,PA1132,0.50841995,PA2372,0.78265601,rsaL,0.65577932,PA3326,0.62269417,PA2112,0.66117051,PA5178,0.63262033,glyA1,0.61171834,rplS,0.7306261,hemN,0.6967497,hpd,0.62936225,mtlY,0.55177237,arnE,0.7795761,PA4863,0.52597531,PA2146,0.52529522,PA0510,0.67553461,PA5568,0.47327845,PA0207,0.65785306
rhlA,0.5773878,PA0730,0.66666814,PA3378,0.69646229,PA4570,0.62577343,oprI,1.04689074,pra,0.67376252,antC,0.63723133,PA4471,0.6589604,PA0979,0.58163004,PA1869,0.63157332,PA1559,0.46934901,algL,0.87639762,mexE,0.54977142,PA1855,0.58597123,arcD,0.68620929,norC,0.69280866,ercS,0.61233899,PA1196,0.47479455,PA4571,0.60789915,PA0170,0.58975001,PA2456,0.61859095,PA0637,0.64848051,rcpA,0.85693302,zwf,0.50178816,PA4714,0.56054716,exsB,0.7102977,PA4465,0.5861686,PA4286,0.87057241,ftsZ,0.59678158,PA2735,0.98080357,flgM,0.71556707,pvdS,0.5219383,pilP,0.63141336,PA0165,0.47909363,PA0784,0.72523408,hisF2,0.63699322,PA3904,0.62229316,opdO,0.65523284,PA0062,0.59543876,PA2711,0.57468604,PA2798,0.72728612,PA1746,0.6792878,PA3472,0.58293865,PA4365,0.54629136,arnF,0.77183984,ureA,0.5199179,PA0567,0.51018713,nosZ,0.67071544,msrA,0.46666542,ygdP,0.62535254
rhlB,0.56332506,PA5289,0.64982628,PA1134,0.68106338,fumC1,0.61567514,oprF,1.03689665,mmsB,0.66758019,mexF,0.6197187,femI,0.63910368,PA0978,0.57075379,PA4134,0.55855949,PA4782,0.46289882,PA2252,0.85176845,fliD,0.54928284,PA0909,0.57815993,PA5208,0.62381773,typA,0.68187723,PA3446,0.6068824,lasI,0.47081265,dnr,0.59405768,pctC,0.58392434,PA4131,0.60981485,PA0636,0.63902842,mexI,0.8064868,PA3181,0.49404274,pilJ,0.5549141,pchB,0.6503871,PA3202,0.57846786,PA3512,0.83544547,groEL,0.53818013,fliC,0.97234771,rpoS,0.70603079,sucD,0.51852844,PA2562,0.61271888,PA3741,0.47186545,pslB,0.71931666,PA1913,0.61187819,PA3329,0.61008011,mexE,0.63778057,PA3819,0.55986652,dhcA,0.55766914,PA5461,0.69205324,ccpR,0.66939991,PA2372,0.57396133,PA2941,0.5412092,arnB,0.76076767,PA0191,0.49827106,PA4738,0.50711741,oprC,0.63579651,PA0456,0.4631696,ccoO2,0.61938319
PA1869,0.55631056,PA4104,0.59403753,phnE,0.67889645,PA2412,0.61435857,PA1592,1.02262508,PA0175,0.65533473,PA2592,0.60928765,PA4219,0.63240085,PA3229,0.5235807,lasA,0.54694405,PA3828,0.46182701,PA1228,0.83566244,PA2486,0.5464287,PA0633,0.56197682,PA4328,0.61889153,PA0521,0.67478965,PA3442,0.60377999,PA1692,0.46397618,PA5440,0.57080737,fliD,0.56052462,PA1429,0.58037394,PA0639,0.60895153,mexH,0.80150086,mobA,0.48103522,PA3694,0.54239137,fptA,0.64712268,rpsJ,0.57715166,PA4075,0.8343441,sucC,0.5263924,fliD,0.96205286,oprF,0.69652298,PA2405,0.5007616,pilC,0.57783829,PA3905,0.46277483,PA1244,0.71446361,PA4843,0.56881207,PA3330,0.60878064,PA2109,0.59757294,PA2020,0.55563401,PA5217,0.52908993,oprM,0.65678996,PA1123,0.65852562,algG,0.55844588,PA2473,0.5033003,arnT,0.75158462,PA5254,0.49175991,PA2747,0.5040594,PA0525,0.63306462,PA2412,0.45980138,PA1095,0.6098079
roxS,0.54729409,PA4106,0.5703302,PA0842,0.66471147,sodM,0.61134921,amrZ,0.98292338,PA0107,0.64782082,pcaF,0.60402542,rsaL,0.62390648,PA3530,0.51823415,PA2564,0.53989794,PA5504,0.45769413,algK,0.83132391,mexF,0.53293433,PA0637,0.53974813,PA3614,0.60898673,nosD,0.64692034,PA3938,0.60055156,PA0452,0.46058539,rfaD,0.54742609,spdH,0.55409682,PA4348,0.5712709,PA0634,0.60830143,PA1914,0.76540056,PA2461,0.4665648,PA5250,0.52535861,lasB,0.62618964,PA2958,0.56971618,PA1578,0.82211646,nuoJ,0.51607204,wbpB,0.93746996,PA3819,0.69512364,PA2033,0.49660199,PA0092,0.55638157,potC,0.46277273,PA0644,0.68340214,lasI,0.56253849,PA3328,0.59125541,PA2114,0.58388962,prtN,0.55330754,liuE,0.51797728,PA3262,0.6504366,PA5475,0.65846342,algK,0.55422409,PA2384,0.4825852,arnC,0.72844152,pmrB,0.49095192,PA4880,0.49966982,fliC,0.59376983,mltD,0.44677678,ccoP2,0.60380661
PA4142,0.53606526,PA4103,0.56479812,PA3379,0.66219516,pvdS,0.60443229,PA0456,0.97090344,hpd,0.6472359,PA3229,0.5901744,fhp,0.61607564,PA4105,0.50101319,PA2565,0.49806595,arnC,0.45018365,algI,0.80028506,PA1970,0.53150889,PA1856,0.53071369,PA1196,0.60352484,PA0525,0.6265848,PA5103,0.59654631,PA5446,0.45873583,PA4352,0.54216148,PA0172,0.55205761,glyA2,0.56868168,PA0631,0.59933811,PA1876,0.76364361,PA2826,0.4596445,glpK,0.51607836,PA4141,0.61563984,prfB,0.56634441,PA3696,0.80080379,mraY,0.51215055,PA2731,0.93551932,PA5153,0.65873846,tatB,0.49629206,pslD,0.55301643,PA0561,0.46203122,PA3365,0.67205849,pctC,0.54245232,rhlA,0.58111684,mexF,0.58168014,PA5212,0.51779984,PA5528,0.51649478,hflK,0.64460316,PA1551,0.63935,algL,0.55201587,PA0802,0.48031144,PA0921,0.68713601,pmrA,0.4823577,osmC,0.49378662,nirL,0.5874944,cysM,0.4401683,rpsC,0.5922903
PA0122,0.51097355,PA0084,0.54166194,PA3142,0.65340249,pvdF,0.59926264,rpmI,0.94437188,phhA,0.64198119,PA3189,0.58740299,sodM,0.60009827,PA4107,0.49843776,PA5363,0.49667449,arnT,0.43823221,PA4685,0.79391851,PA1744,0.52663333,PA5289,0.52146154,PA3465,0.59179965,PA4107,0.61058835,PA3444,0.58321603,PA2754,0.45388898,mexE,0.5297091,PA0046,0.51486185,PA1657,0.53213939,PA0910,0.58045418,mexG,0.7464244,PA3055,0.44962928,ygbB,0.51096878,PA4570,0.61521477,nusG,0.56267003,PA5482,0.77175474,PA3697,0.49403858,fpvA,0.91055597,PA2737,0.65157833,sucA,0.49232884,PA2779,0.54211951,PA0222,0.4618212,PA2222,0.65774431,wbpI,0.53153613,fabH2,0.5798827,PA2116,0.57747596,PA0922,0.51066991,PA0115,0.51619427,PA3962,0.62578148,ccoP2,0.62769873,algD,0.54996693,PA2496,0.47845406,arnA,0.68319088,nosZ,0.46810883,PA4739,0.48632501,PA1123,0.58251022,secF,0.43631961,gltX,0.58811563
PA0979,0.49969803,PA3383,0.52843896,PA5275,0.65228994,fpvA,0.58227775,himA,0.94430884,rcpA,0.62835985,PA2759,0.58148309,pchD,0.58936527,PA2028,0.48716246,PA4129,0.47379235,rplD,0.42036893,algG,0.78153027,fliC,0.51966609,PA0631,0.51248517,PA3458,0.58464599,lysP,0.60328422,PA2807,0.57766968,antA,0.45056287,PA5445,0.51632323,metE,0.51372028,PA4129,0.52380834,PA0638,0.57773263,PA1877,0.72250576,PA2322,0.44429281,PA2076,0.50512284,oprC,0.59058615,rpsM,0.55582008,PA0064,0.75841379,ampR,0.48496159,wbpE,0.90381611,liuA,0.64847837,PA3837,0.49039293,wbpE,0.53594479,PA2109,0.45928679,amiC,0.62644256,PA4133,0.52305009,lasB,0.57845303,PA0049,0.55634815,PA1592,0.50436325,PA3425,0.51132694,rplM,0.62190517,ccoO2,0.62377789,algI,0.536406,PA2922,0.47838511,phoP,0.67805597,PA4515,0.46664987,PA2171,0.46875611,PA0512,0.5768803,pqsC,0.43250548,rhlR,0.57451575
