node,operon,q_value
node1,PA3327;PA3328;PA3329;PA3330;PA3331;PA3332;PA3333;PA3334,0
node1,PA4250;PA4251;PA4252;PA4253;PA4254;PA4255;PA4256;PA4257;PA4258;PA4259;PA4260;PA4261;PA4262;PA4263;PA4264,0
node1,PA1714;PA1715;PA1716;PA1717;PA1718;PA1719;PA1720;PA1721;PA1722;PA1723;PA1724;PA1725,0
node1,PA1806;PA1807;PA1808;PA1809;PA1810;PA1811,0
node1,PA4863;PA4864;PA4865;PA4866;PA4867;PA4868,0
node1,PA4242;PA4243;PA4244;PA4245;PA4246;PA4247;PA4248;PA4249,0.00422833
node1,PA2637;PA2638;PA2639;PA2640;PA2641;PA2642;PA2643;PA2644;PA2645;PA2646;PA2647;PA2648;PA2649,0
node1,PA3799;PA3800;PA3801;PA3802;PA3803;PA3804;PA3805;PA3806;PA3807,0.002304148
node1,PA0996;PA0997;PA0998;PA0999;PA1000,0
node1,PA2066;PA2067;PA2068;PA2069,0
node1,PA1698;PA1699;PA1700;PA1701;PA1702;PA1703;PA1704;PA1705;PA1706;PA1707;PA1708;PA1709,0.006696429
node1,PA4773;PA4774;PA4775;PA4776;PA4777,0.002242153
node1,PA1900;PA1901;PA1902;PA1903;PA1904;PA1905,0.002169197
node1,PA1891;PA1892;PA1893;PA1894;PA1895;PA1896;PA1897,0.006578947
node1,PA3070;PA3071;PA3072;PA3073;PA3074;PA3075;PA3076,0.002150538
node1,PA1477;PA1478;PA1479;PA1480;PA1481;PA1482;PA1483,0.002178649
node1,PA4299;PA4300;PA4301;PA4302;PA4303;PA4304;PA4305,0.01091703
node1,PA1656;PA1657;PA1658;PA1659,0
node1,PA3996;PA3997;PA3998;PA3999;PA4000;PA4001;PA4002;PA4003;PA4004;PA4005;PA4006;PA4007,0.004524887
node1,PA1664;PA1665;PA1666;PA1667;PA1668;PA1669;PA1670;PA1671,0.010822511
node1,PA3515;PA3516;PA3517;PA3518;PA3519,0.004338395
